SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU100,HARMONIZED,50,Lip Makeup,2.33,0.93,1.1,0.23,16.28
SKU101,HARMONIZED,50,Lip Makeup,2.33,0,1.1,0.23,16.28
SKU102,HARMONIZED,50,Lip Makeup,1.48,0.66,3.37,0.3,13.28
SKU103,HARMONIZED,50,Lip Makeup,1.48,0.48,3.37,0.3,13.28
SKU104,HARMONIZED,50,Face Makeup,2.33,0.44,1.03,0.3,20.94
SKU105,HARMONIZED,50,Face Makeup,2.33,0.5,1.1,0.3,20.94
SKU106,HARMONIZED,50,Face Makeup,2.33,0.51,1.1,0.3,20.94
SKU107,HARMONIZED,50,Face Makeup,2.33,0.62,1.1,0.3,20.94
SKU108,HARMONIZED,50,Face Makeup,2.33,0.31,1.1,0.33,23.26
SKU109,HARMONIZED,50,Face Makeup,2.33,0.33,1.1,0.2,13.96
SKU110,HARMONIZED,50,Face Makeup,2.33,0.24,1.1,0.2,13.96
SKU111,HARMONIZED,50,Face Makeup,2.33,0.37,1.1,0.2,13.96
SKU112,HARMONIZED,50,Face Makeup,2.33,0.49,1.1,0.33,23.26
SKU113,HARMONIZED,50,Face Makeup,2.33,0.39,1.1,0.33,23.26
SKU114,HARMONIZED,50,Face Makeup,2.33,0.37,1.1,0.2,13.96
SKU115,HARMONIZED,50,Face Makeup,2.33,0.31,1.1,0.2,13.96
SKU116,HARMONIZED,50,Face Makeup,2.33,0.42,1.1,0.2,13.96
SKU117,HARMONIZED,50,Face Makeup,2.33,0.36,1.1,0.2,13.96
SKU118,HARMONIZED,50,Face Makeup,2.33,0.51,1.1,0.33,23.26
SKU119,HARMONIZED,50,Face Makeup,2.33,0.41,1.1,0.33,23.26
SKU120,HARMONIZED,50,Face Makeup,2.33,0.37,1.1,0.33,23.26
SKU121,HARMONIZED,50,Eye Makeup,2.33,0.36,1.8,0.3,20.94
SKU122,HARMONIZED,50,Eye Makeup,2.33,0.35,1.8,0.3,20.94
SKU123,HARMONIZED,50,Nail Makeup,2.33,0.35,0.97,0.33,23.26
SKU124,HARMONIZED,50,Nail Makeup,2.33,0.52,0.97,0.33,23.26
SKU125,HARMONIZED,50,Nail Makeup,1.88,0.4,0.97,0.33,18.81
SKU126,HARMONIZED,50,Nail Makeup,2.33,0.52,0.97,0.33,23.26
SKU127,HARMONIZED,50,Nail Makeup,2.33,0.42,0.97,0.33,23.26
SKU128,HARMONIZED,50,Nail Makeup,2.33,0.39,0.97,0.33,23.26
SKU129,HARMONIZED,50,Nail Makeup,2.33,0.21,0.97,0.33,23.26
SKU130,HARMONIZED,50,Nail Makeup,2.33,0.58,0.97,0.33,23.26
SKU131,HARMONIZED,50,Nail Makeup,1.88,0.27,0.97,0.33,18.81
SKU132,HARMONIZED,50,Nail Makeup,1.88,0.37,0.97,0.33,18.81
SKU133,HARMONIZED,50,Nail Makeup,2.33,0.38,0.97,0.33,23.26
SKU134,HARMONIZED,50,Nail Makeup,2.33,0.4,0.97,0.33,23.26
SKU135,HARMONIZED,50,Nail Makeup,2.33,0.55,0.97,0.33,23.26
SKU136,HARMONIZED,50,Nail Makeup,2.33,0.36,0.97,0.33,23.26
SKU137,HARMONIZED,50,Nail Makeup,2.33,0.42,0.97,0.33,23.26
SKU138,HARMONIZED,50,Nail Makeup,2.33,0.46,0.97,0.33,23.26
SKU139,HARMONIZED,50,Nail Makeup,2.33,0.45,0.97,0.33,23.26
SKU140,HARMONIZED,50,Nail Makeup,2.33,0.23,0.97,0.33,23.26
SKU141,HARMONIZED,50,Nail Makeup,2.33,0.43,0.97,0.33,23.26
SKU142,HARMONIZED,50,Nail Makeup,2.33,0.47,0.97,0.33,23.26
SKU143,HARMONIZED,50,Nail Makeup,2.33,0.61,0.97,0.33,23.26
SKU144,HARMONIZED,50,Nail Makeup,2.33,0.37,0.97,0.33,23.26
SKU145,HARMONIZED,50,Nail Makeup,2.33,0.32,0.97,0.33,23.26
SKU146,HARMONIZED,50,Nail Makeup,2.33,0.45,0.97,0.33,23.26
SKU147,HARMONIZED,50,Nail Makeup,2.33,0.47,0.97,0.33,23.26
